MERRA_ID,YEAR,MONTH,REL_HUM_AVG_AVG
134896,2019,8,45
134896,2019,11,52
134896,2019,12,60
134943,2019,1,82
136045,2019,5,29
134943,2019,11,79
136045,2019,11,38
135515,2019,9,54
136090,2019,9,57
137241,2019,1,83
137241,2019,3,78
138346,2019,9,29
136620,2019,8,24
136621,2019,1,49
137194,2019,3,42
137243,2019,7,67
137243,2019,8,66
137243,2019,9,57
138347,2019,9,35
138348,2019,2,66
138348,2019,9,40
138349,2019,12,65
138922,2019,6,18
138924,2019,11,42
144732,2019,11,77
148770,2019,2,81
148770,2019,6,73
149346,2019,10,77
149346,2019,11,80
149922,2019,4,71
133786,2019,4,78
133787,2019,7,74
133787,2019,8,77
133786,2019,9,60
133786,2019,12,82
133787,2019,12,82
133790,2019,10,79
133790,2019,12,86
134319,2019,6,20
134319,2019,8,47
134319,2019,11,52
135515,2019,8,66
137243,2019,2,85
134361,2019,5,68
134361,2019,7,68
134361,2019,8,73
134895,2019,3,44
137819,2019,6,80
134896,2019,1,56
136045,2019,2,52
137241,2019,5,76
136045,2019,8,27
134943,2019,9,70
134943,2019,10,79
134943,2019,12,86
136090,2019,2,86
135515,2019,6,68
138348,2019,5,45
138348,2019,8,30
138348,2019,12,61
136621,2019,10,24
137194,2019,7,19
137241,2019,10,68
138347,2019,1,53
137819,2019,2,84
137819,2019,3,77
138347,2019,10,20
138922,2019,1,54
138922,2019,5,38
144732,2019,4,81
138924,2019,5,47
148770,2019,8,65
149922,2019,10,76
151077,2019,5,79
133786,2019,3,80
133787,2019,6,71
133790,2019,1,83
134319,2019,7,39
134319,2019,9,55
135515,2019,5,67
136620,2019,9,35
134895,2019,5,31
134895,2019,10,31
134896,2019,2,57
138346,2019,5,35
136045,2019,7,23
136045,2019,10,24
136090,2019,11,79
138348,2019,7,28
138348,2019,10,24
136621,2019,3,43
136621,2019,5,28
137194,2019,1,49
138346,2019,11,35
137243,2019,4,78
138347,2019,12,60
137819,2019,9,58
138349,2019,6,28
138349,2019,11,45
138922,2019,4,39
138924,2019,9,39
144732,2019,1,80
149922,2019,2,75
149922,2019,3,73
149922,2019,7,66
149922,2019,11,78
151077,2019,8,73
151077,2019,11,80
133786,2019,1,84
133786,2019,5,66
133786,2019,8,74
133787,2019,10,69
133786,2019,11,74
133790,2019,6,70
133790,2019,9,68
134319,2019,1,53
134319,2019,12,58
136090,2019,1,83
136090,2019,3,78
137194,2019,9,30
137243,2019,10,68
138348,2019,1,58
134895,2019,1,52
134895,2019,8,41
137819,2019,11,78
134943,2019,3,74
134943,2019,7,71
137241,2019,8,65
136090,2019,10,70
138346,2019,3,47
136045,2019,6,17
136620,2019,7,21
136620,2019,10,23
136620,2019,11,36
138346,2019,2,57
138347,2019,5,41
138347,2019,2,62
138349,2019,1,63
138349,2019,3,58
138349,2019,4,47
138922,2019,7,18
138924,2019,1,59
138924,2019,6,27
138924,2019,7,30
144732,2019,3,78
144732,2019,9,71
148770,2019,4,81
151077,2019,3,84
151077,2019,6,76
148770,2019,11,82
149346,2019,3,78
149346,2019,4,78
149346,2019,6,74
149346,2019,12,85
149922,2019,5,74
149922,2019,9,73
149922,2019,12,83
151077,2019,1,83
151077,2019,7,74
133786,2019,2,87
133786,2019,7,70
133787,2019,9,64
133790,2019,2,84
133790,2019,5,62
133790,2019,7,72
137243,2019,3,78
136620,2019,6,17
134361,2019,10,67
134896,2019,9,52
134943,2019,2,83
134943,2019,5,66
135515,2019,2,87
136090,2019,6,74
135515,2019,11,77
136045,2019,1,51
137241,2019,4,77
138346,2019,4,36
136045,2019,9,38
136045,2019,12,57
136090,2019,8,66
136620,2019,12,53
136621,2019,12,54
137194,2019,4,30
137241,2019,11,79
137243,2019,5,76
137819,2019,4,78
137819,2019,5,78
138349,2019,2,69
138349,2019,10,27
138922,2019,9,28
138924,2019,8,32
138924,2019,10,25
144732,2019,2,83
144732,2019,6,81
148770,2019,1,82
151077,2019,2,86
148770,2019,12,85
151077,2019,4,80
151077,2019,9,75
151077,2019,10,80
133790,2019,8,77
133790,2019,11,82
134319,2019,10,36
136090,2019,5,72
137194,2019,6,19
134895,2019,2,55
134896,2019,3,46
134896,2019,5,34
134896,2019,7,36
134943,2019,4,71
134943,2019,8,74
136090,2019,7,64
138346,2019,1,51
136045,2019,4,30
137241,2019,9,56
138346,2019,12,60
138348,2019,11,41
136621,2019,7,20
136621,2019,11,36
137194,2019,11,32
137241,2019,7,66
138346,2019,7,18
137243,2019,11,76
137243,2019,12,81
137819,2019,1,82
137819,2019,8,69
138348,2019,4,44
138349,2019,9,42
138922,2019,3,50
138922,2019,11,36
138922,2019,12,62
144732,2019,8,76
144732,2019,12,85
138924,2019,12,62
151077,2019,12,86
148770,2019,3,78
148770,2019,10,79
149346,2019,7,67
149346,2019,9,73
149922,2019,1,77
149922,2019,8,69
133787,2019,3,80
133790,2019,4,70
135515,2019,12,84
134361,2019,2,87
136620,2019,2,50
134361,2019,3,79
136620,2019,3,42
134361,2019,4,78
134361,2019,9,60
134895,2019,4,34
134895,2019,6,18
134895,2019,11,47
134895,2019,12,56
134896,2019,10,35
134943,2019,6,74
135515,2019,4,76
135515,2019,10,68
136045,2019,3,44
137241,2019,6,76
136620,2019,1,47
136621,2019,2,51
136621,2019,4,31
136621,2019,9,34
137194,2019,8,20
137241,2019,2,86
137243,2019,1,83
138347,2019,4,40
137243,2019,6,78
138347,2019,7,23
138347,2019,11,37
137819,2019,7,72
137819,2019,12,81
138348,2019,6,26
138349,2019,8,35
138922,2019,2,59
138922,2019,10,17
138924,2019,2,66
138924,2019,4,44
144732,2019,5,82
144732,2019,10,71
148770,2019,7,65
149346,2019,1,81
149346,2019,8,68
149922,2019,6,71
133787,2019,1,85
133787,2019,5,67
133786,2019,6,67
134319,2019,4,36
135515,2019,1,83
136090,2019,12,84
137194,2019,2,50
137194,2019,5,31
134361,2019,1,84
136620,2019,4,30
134361,2019,12,83
134895,2019,9,49
136090,2019,4,78
135515,2019,7,61
138346,2019,6,17
137241,2019,12,83
136620,2019,5,29
136621,2019,6,15
136621,2019,8,24
137194,2019,10,16
137194,2019,12,55
138346,2019,10,17
138347,2019,6,21
138347,2019,8,25
137819,2019,10,69
138346,2019,8,20
138347,2019,3,50
138348,2019,3,54
138349,2019,5,49
138349,2019,7,32
138922,2019,8,20
138924,2019,3,54
144732,2019,7,80
148770,2019,5,82
148770,2019,9,72
149346,2019,2,79
149346,2019,5,80
133787,2020,2,84
133787,2020,6,73
133787,2020,8,75
133786,2020,12,77
133790,2020,3,78
134319,2020,6,20
134319,2020,7,37
135515,2020,8,71
135515,2020,9,75
136090,2020,1,85
134361,2020,9,77
136620,2020,10,18
134361,2020,12,78
134895,2020,2,46
134895,2020,3,52
134895,2020,11,28
134896,2020,1,53
134896,2020,8,37
134943,2020,2,83
134943,2020,5,75
134943,2020,6,72
137241,2020,9,75
134943,2020,12,76
135515,2020,4,77
136090,2020,6,76
136090,2020,7,69
138346,2020,3,55
137241,2020,5,79
136045,2020,6,16
136620,2020,2,41
136621,2020,4,37
136621,2020,5,21
136621,2020,9,19
136621,2020,10,17
137194,2020,3,52
137194,2020,4,40
137243,2020,2,86
138347,2020,5,28
137819,2020,7,70
138348,2020,8,28
138349,2020,12,41
138922,2020,2,42
138922,2020,4,43
138922,2020,5,26
138924,2020,4,44
138348,2020,5,30
138924,2020,12,39
148770,2020,6,61
148770,2020,11,80
149346,2020,10,74
149922,2020,6,60
149922,2020,8,67
149922,2020,10,73
151077,2020,2,88
151077,2020,3,85
133786,2020,8,73
133790,2020,8,79
134319,2020,8,41
135515,2020,12,78
137194,2020,6,18
137243,2020,3,87
134361,2020,5,76
134895,2020,5,21
137819,2020,6,80
134896,2020,2,49
134896,2020,9,32
134896,2020,12,36
135515,2020,6,75
136045,2020,2,43
137241,2020,10,81
137241,2020,11,80
136620,2020,9,20
136620,2020,11,23
137194,2020,2,37
137243,2020,1,84
137243,2020,4,76
137243,2020,8,73
138347,2020,12,31
137819,2020,9,78
138347,2020,3,59
138349,2020,1,58
138349,2020,2,49
138924,2020,5,29
144732,2020,9,71
144732,2020,10,75
148770,2020,3,81
149922,2020,4,67
149922,2020,9,69
151077,2020,7,74
151077,2020,8,79
151077,2020,9,75
133786,2020,6,70
133790,2020,6,76
133790,2020,7,72
134319,2020,4,38
134319,2020,10,22
136090,2020,9,76
136090,2020,11,78
134361,2020,1,83
134895,2020,1,51
137819,2020,5,80
134943,2020,4,76
134943,2020,7,68
136045,2020,3,52
137241,2020,6,77
137241,2020,12,83
136090,2020,8,72
138347,2020,4,43
137243,2020,5,80
137243,2020,7,67
137243,2020,11,80
137819,2020,10,82
138349,2020,7,30
144732,2020,3,82
144732,2020,8,68
138348,2020,6,23
138924,2020,10,21
148770,2020,7,61
149922,2020,3,74
149922,2020,7,63
149922,2020,12,79
133786,2020,2,85
133787,2020,3,83
133786,2020,10,81
133790,2020,2,83
133790,2020,12,77
135515,2020,2,87
136090,2020,2,86
137194,2020,5,23
137243,2020,9,77
136620,2020,6,16
136620,2020,7,18
134896,2020,6,19
134896,2020,7,36
136045,2020,1,48
134943,2020,11,77
137241,2020,2,86
136045,2020,5,20
138346,2020,10,16
136620,2020,8,24
136621,2020,2,43
136621,2020,8,24
137194,2020,12,25
137241,2020,4,75
137241,2020,7,66
137243,2020,6,78
138347,2020,6,20
138347,2020,7,20
137819,2020,1,84
137819,2020,8,74
137819,2020,11,79
138346,2020,9,15
138347,2020,9,18
138348,2020,3,62
138348,2020,12,36
138349,2020,5,32
138349,2020,9,23
138922,2020,8,18
138924,2020,3,60
144732,2020,5,78
144732,2020,4,78
149346,2020,2,83
149346,2020,7,63
148770,2020,10,76
149346,2020,1,87
149346,2020,3,80
149346,2020,11,78
151077,2020,4,72
133787,2020,1,82
134319,2020,2,49
133787,2020,7,75
133787,2020,10,81
133790,2020,11,80
135515,2020,1,85
135515,2020,3,87
134361,2020,8,71
134361,2020,10,79
134361,2020,11,73
137819,2020,2,86
134895,2020,6,17
134895,2020,10,20
134896,2020,3,54
134896,2020,10,22
134896,2020,11,32
134943,2020,3,84
136045,2020,4,37
136045,2020,7,21
134943,2020,9,79
137241,2020,3,86
138346,2020,5,24
136045,2020,10,20
136045,2020,12,31
138346,2020,12,28
136621,2020,6,14
136621,2020,11,23
