MERRA_ID,YEAR,MONTH,CLOUD_COVER_AVG,SHORTWAVE_SURFACE_AVG
138346,2014,9,0.07,6379.8
151077,2014,5,0.6,5689.3
136090,2014,12,0.51,2739.3
137194,2014,7,0.42,7432.6
137194,2014,9,0.05,6425.4
137194,2014,10,0.26,4826.1
149922,2014,1,0.76,1335.7
151077,2014,8,0.46,5501.5
151077,2014,9,0.46,4275.6
137819,2014,11,0.36,3459.5
149922,2014,4,0.62,4619.3
151077,2014,10,0.56,2607.4
137819,2014,12,0.53,2460.4
133786,2014,9,0.54,4951.8
133787,2014,9,0.57,4868.5
134319,2014,9,0.3,5853.6
134895,2014,2,0.47,4696.3
133790,2014,12,0.5,2994.8
134896,2014,3,0.33,6273.3
134896,2014,5,0.27,8395.1
138924,2014,3,0.39,5984.5
134943,2014,8,0.64,5768.9
134943,2014,11,0.4,3485.9
135515,2014,7,0.51,6383.9
138348,2014,1,0.4,3489.2
138348,2014,2,0.45,4489.3
138348,2014,4,0.36,7170.2
136620,2014,11,0.2,4072.2
137241,2014,3,0.53,4685.8
138346,2014,4,0.33,7219.1
138349,2014,2,0.43,4545
134943,2014,12,0.49,2905.7
135515,2014,9,0.51,5142.5
136090,2014,9,0.48,5266.6
138348,2014,6,0.19,8932.7
138347,2014,7,0.49,6791.4
138348,2014,7,0.54,6523
138348,2014,9,0.16,6117.2
138346,2014,10,0.26,4855.9
138922,2014,5,0.3,8277.7
138924,2014,9,0.15,6154.8
135515,2014,12,0.49,2826.6
137241,2014,9,0.42,5427.3
137819,2014,4,0.59,5653.5
137819,2014,6,0.63,6168.8
138349,2014,12,0.54,2790.2
138924,2014,12,0.56,2690.7
148770,2014,3,0.55,3965.8
149922,2014,5,0.62,5777.7
151077,2014,12,0.66,1213.5
148770,2014,7,0.4,6666.9
148770,2014,11,0.64,1609.4
148770,2014,12,0.69,1208.3
149922,2014,8,0.46,5743.2
133786,2014,4,0.53,5656.2
133787,2014,6,0.58,5500.2
133786,2014,8,0.67,5217.5
133787,2014,8,0.66,5304.7
133786,2014,12,0.49,3041.6
134319,2014,8,0.44,5890.5
133790,2014,7,0.58,5996.9
134895,2014,4,0.29,7530.7
134361,2014,2,0.55,3843.3
134896,2014,4,0.3,7548.5
134361,2014,10,0.26,5100.6
136621,2014,2,0.46,4416.6
134896,2014,8,0.43,6099
134943,2014,5,0.48,6346.1
135515,2014,3,0.51,4841.2
136090,2014,1,0.41,3151.3
136621,2014,9,0.12,6251.5
138924,2014,2,0.45,4450
136045,2014,3,0.35,6001
136045,2014,5,0.25,8259.2
136090,2014,5,0.48,6343.2
138346,2014,3,0.37,5964.8
137243,2014,8,0.56,6513.5
136045,2014,7,0.51,7088.7
136045,2014,9,0.12,6323
136090,2014,7,0.52,6583.5
138348,2014,5,0.3,8192.9
138348,2014,11,0.25,3960.9
144732,2014,2,0.62,3016.3
138349,2014,6,0.17,8985.5
138922,2014,4,0.35,7157.7
137241,2014,10,0.35,4518.9
138922,2014,8,0.26,6849.2
137819,2014,8,0.54,6591.6
148770,2014,1,0.72,1612.5
138922,2014,11,0.26,3883.2
149346,2014,3,0.57,3914.6
149922,2014,9,0.41,4498.9
149922,2014,11,0.72,1246.4
