MERRA_ID,YEAR,MONTH,PRECIPITATION,EVAPORATION,PRECIP_DAYS
133786,2014,3,227.12,101.59,31
133786,2014,6,93.4,136.22,30
133786,2014,12,83.07,50.92,31
133787,2014,6,85.04,137.47,30
133790,2014,2,79.9,69.04,28
134319,2014,6,0,0.63,30
133787,2014,7,73.72,122.45,31
133787,2014,10,25.61,81.37,31
134895,2014,2,0.8,13.31,28
134361,2014,3,220.92,97.65,31
134361,2014,12,129.51,40.12,31
134895,2014,6,0,0.74,30
134361,2014,2,179.95,61.09,28
137194,2014,2,8.47,3.68,28
137243,2014,2,127.13,57.94,28
137819,2014,10,73.54,79.87,31
137243,2014,6,134.33,140.3,30
134896,2014,4,4.86,10.66,30
135515,2014,1,85.66,46,31
136090,2014,2,161.99,58.94,28
136090,2014,6,95.88,128.66,30
136620,2014,4,0.48,1.69,30
136620,2014,6,0,0.46,30
137194,2014,10,0.13,9.19,31
137241,2014,7,76.06,122.34,31
138349,2014,10,12.43,30.05,31
138349,2014,12,37.74,14.02,31
137241,2014,10,77.43,63.98,31
135515,2014,3,166.34,95.02,31
138924,2014,2,26.5,13.89,28
135515,2014,10,26.79,61.44,31
136045,2014,8,24.78,42.13,31
137241,2014,11,77.78,41.11,30
138346,2014,2,16.48,3.91,28
138346,2014,7,16.22,30.34,31
138346,2014,9,16.43,41.02,30
138346,2014,12,30.16,11.19,31
138924,2014,9,33.79,39.73,30
149346,2014,1,86.36,12.63,31
149346,2014,2,57.24,11.44,28
149346,2014,3,78.68,22,31
151077,2014,6,162.25,131.57,30
149922,2014,5,109.12,41.67,31
151077,2014,11,73.11,19.13,30
133787,2014,3,201.7,100.54,31
133787,2014,11,63.1,37.15,30
133787,2014,12,112,47.49,31
134319,2014,1,0.95,18.74,31
134319,2014,7,150.47,54.99,31
134319,2014,8,147,69.7,31
134319,2014,10,16.94,66.02,31
134895,2014,3,9.11,24.77,31
133790,2014,6,89.64,108.89,30
133790,2014,7,159.58,103.76,31
134361,2014,4,202.41,123.47,30
134361,2014,5,51.26,158.65,31
134361,2014,7,96.02,142.98,31
134361,2014,11,122.94,37.9,30
134895,2014,12,40.64,18.02,31
137194,2014,3,2.26,7.14,31
137243,2014,1,87.72,41.07,31
137819,2014,2,106.81,61.11,28
134943,2014,7,123.08,119.5,31
135515,2014,9,70.63,85.02,30
136090,2014,5,80.73,151.92,31
138349,2014,7,59.46,44.11,31
134943,2014,4,196.5,99.29,30
137241,2014,5,91.47,152.18,31
138347,2014,6,0,1.67,30
134896,2014,12,37.29,17.04,31
136045,2014,9,64.71,44.28,30
138346,2014,3,6.43,10.48,31
138346,2014,5,0.95,2.9,31
144732,2014,8,72.12,98.91,31
134896,2014,10,9.52,45.62,31
144732,2014,4,156,88.8,30
144732,2014,9,104.78,63.52,30
148770,2014,1,76.22,16.54,31
148770,2014,3,65.53,29.99,31
148770,2014,5,89.62,87.61,31
138924,2014,5,2.89,17.04,31
151077,2014,7,133.85,140.57,31
151077,2014,8,109.93,113.16,31
148770,2014,8,67.41,67.02,31
149922,2014,10,146.35,31.7,31
