STATE_CODE,STATE_CODE_EXP,SHRP_ID,TRAFFIC_OPEN_YEAR_EXP_NO,VEHICLE_CLASS,VEHICLE_CLASS_EXP,VEH_CLASS_DIST_PERCENT,VEH_CLASS_GROWTH_RATE,VEH_CLASS_GROWTH_FUNCTION,VEH_CLASS_GROWTH_USE_RATING,VEH_CLASS_GROWTH_USE_RATING_EXP,AADTT_FIRST_YEAR_LTPP_LANE
4,Arizona,1015,1979,8,"FHWA Class 8 (Four or less axle, one trailer truck)",9.729999542236328,9.510000228881836,compound,6,Bad - No monitoring data are present.,115
4,Arizona,1015,1997,4,FHWA Class 4 (Buses),1.6399999856948853,9.220000267028809,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1015,1979,4,FHWA Class 4 (Buses),1.7200000286102295,9.289999961853027,compound,6,Bad - No monitoring data are present.,115
4,Arizona,1015,1997,6,FHWA Class 6 (Three axle Single-unit truck),3.6600000858306885,9.079999923706055,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1015,1979,6,FHWA Class 6 (Three axle Single-unit truck),3.7300000190734863,9.260000228881836,compound,6,Bad - No monitoring data are present.,115
4,Arizona,1015,1997,7,FHWA Class 7 (Four or more axle Single-unit truck),0,0,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1015,1979,7,FHWA Class 7 (Four or more axle Single-unit truck),0,0,compound,6,Bad - No monitoring data are present.,115
4,Arizona,1015,1997,8,"FHWA Class 8 (Four or less axle, one trailer truck)",9.8100004196167,9.039999961853027,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1015,1979,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1,0,linear,6,Bad - No monitoring data are present.,115
4,Arizona,1015,1997,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.3199999928474426,8.720000267028809,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1015,1979,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,0,linear,6,Bad - No monitoring data are present.,115
4,Arizona,1015,1997,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.3199999928474426,8.720000267028809,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1015,1979,9,"FHWA Class 9 (Five axle, one trailer truck)",62.34000015258789,9.390000343322754,compound,6,Bad - No monitoring data are present.,115
4,Arizona,1015,1997,9,"FHWA Class 9 (Five axle, one trailer truck)",63.66999816894531,9.029999732971191,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1015,1979,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.400000095367432,9.359999656677246,compound,6,Bad - No monitoring data are present.,115
4,Arizona,1015,1997,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.349999904632568,8.970000267028809,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1016,1979,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",13.800000190734863,7.5,compound,6,Bad - No monitoring data are present.,138
4,Arizona,1016,1998,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",3.5899999141693115,7.429999828338623,compound,6,Bad - No monitoring data are present.,558
4,Arizona,1016,1998,12,"FHWA Class 12 (Six axle, multi trailer truck)",0.3400000035762787,7.570000171661377,compound,6,Bad - No monitoring data are present.,558
4,Arizona,1016,1998,7,FHWA Class 7 (Four or more axle Single-unit truck),0.14000000059604645,5.579999923706055,compound,6,Bad - No monitoring data are present.,558
