STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND
4,Arizona,1017,2,1995,299,109135
4,Arizona,1017,2,1996,346,126636
4,Arizona,1017,2,1997,597,78804
4,Arizona,1017,3,1997,597,139698
4,Arizona,1017,3,1998,742,270830
4,Arizona,1017,3,2001,527,192355
4,Arizona,1018,3,1991,425,155125
4,Arizona,1018,3,1992,450,164700
4,Arizona,1018,3,1993,427,155855
4,Arizona,1018,3,1994,416,151840
4,Arizona,1018,3,1995,435,158775
4,Arizona,1018,3,1996,700,256200
4,Arizona,1018,3,1997,500,167500
4,Arizona,1018,4,1997,500,15500
4,Arizona,1018,4,1998,532,194180
4,Arizona,1018,4,1999,559,204035
4,Arizona,1018,4,2000,587,214842
4,Arizona,1018,4,2001,617,225205
4,Arizona,1018,4,2002,648,236520
4,Arizona,1018,4,2003,681,248565
4,Arizona,1018,4,2004,715,261690
4,Arizona,1018,4,2005,751,274115
4,Arizona,1018,4,2006,789,287985
4,Arizona,1018,4,2007,829,302585
4,Arizona,1018,4,2008,870,318420
4,Arizona,1018,4,2009,914,333610
4,Arizona,1018,4,2010,960,350400
4,Arizona,1018,4,2011,1009,368285
4,Arizona,1018,4,2012,1059,387594
4,Arizona,1018,4,2013,1113,406245
4,Arizona,1018,4,2014,1169,426685
4,Arizona,1018,4,2015,1228,448220
4,Arizona,1018,4,2016,1290,472140
4,Arizona,1018,4,2017,1355,494575
4,Arizona,1018,4,2018,1417,517205
4,Arizona,1018,4,2019,1482,540930
4,Arizona,1018,5,2012,1059,387594
4,Arizona,1018,5,2013,1113,406245
4,Arizona,1018,5,2014,1169,426685
4,Arizona,1018,5,2015,1228,448220
4,Arizona,1018,5,2016,1290,472140
4,Arizona,1018,5,2017,1355,494575
4,Arizona,1018,5,2018,1417,517205
4,Arizona,1018,5,2019,1482,540930
4,Arizona,1018,1,1976,216,79056
4,Arizona,1018,1,1977,256,93440
4,Arizona,1018,1,1978,248,90520
4,Arizona,1018,1,1979,248,90520
4,Arizona,1018,1,1980,204,74664
4,Arizona,1018,1,1981,196,71540
4,Arizona,1018,1,1982,192,70080
4,Arizona,1018,1,1983,196,71540
4,Arizona,1018,1,1984,208,76128
4,Arizona,1018,1,1985,228,83220
4,Arizona,1018,1,1986,238,86870
4,Arizona,1018,1,1987,312,113880
4,Arizona,1018,1,1988,384,140544
4,Arizona,1018,1,1989,384,140160
4,Arizona,1018,1,1990,359,131035
4,Arizona,1018,1,1991,425,155125
4,Arizona,1018,1,1992,450,164700
4,Arizona,1018,1,1993,427,155855
4,Arizona,1018,1,1994,416,151840
4,Arizona,1018,1,1995,435,158775
4,Arizona,1018,1,1996,700,256200
4,Arizona,1018,1,1997,500,167500
4,Arizona,1018,2,1989,384,140160
4,Arizona,1018,2,1990,359,131035
4,Arizona,1018,2,1991,425,155125
4,Arizona,1018,2,1992,450,164700
4,Arizona,1018,2,1993,427,155855
4,Arizona,1018,2,1994,416,151840
4,Arizona,1018,2,1995,435,158775
4,Arizona,1018,2,1996,700,256200
4,Arizona,1018,2,1997,500,167500
4,Arizona,1021,6,2009,2449,893885
4,Arizona,1021,6,2010,2895,1056675
4,Arizona,1021,6,2011,2981,1088065
4,Arizona,1021,6,2012,3067,1122522
4,Arizona,1021,6,2013,3154,1151210
4,Arizona,1021,6,2014,3240,1182600
4,Arizona,1021,6,2015,3326,1213990
4,Arizona,1021,6,2016,3412,1248792
4,Arizona,1021,1,1978,440,160600
4,Arizona,1021,1,1979,440,160600
4,Arizona,1021,1,1980,320,117120
4,Arizona,1021,1,1981,400,146000
4,Arizona,1021,1,1982,400,146000
4,Arizona,1021,1,1983,400,146000
4,Arizona,1021,1,1984,440,161040
4,Arizona,1021,1,1985,680,248200
4,Arizona,1021,1,1986,800,292000
4,Arizona,1021,1,1987,840,306600
4,Arizona,1021,1,1988,840,307440
4,Arizona,1021,1,1989,920,335800
4,Arizona,1021,1,1990,940,343100
4,Arizona,1021,1,1991,1375,501875
4,Arizona,1021,1,1992,1450,530700
4,Arizona,1021,1,1993,1600,584000
4,Arizona,1021,1,1994,1660,605900
4,Arizona,1021,1,1995,1600,584000
