column,group,null_pct_full_df,dtype,in_iri_dataset,in_rutting_dataset,in_distress_dataset,is_model_feature,imputed
CLIM_REL_HUM_AVG_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_REL_HUM_AVG_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
TRF_AADTT_ALL_TRUCKS_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_ANNUAL_TRUCK_VOLUME_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_4_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_5_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_6_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_7_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_8_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_9_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_10_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_11_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_12_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_13_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_CMLTV_VOL_VEH_CLASS_9_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
PAVEMENT_AGE,IDENTIFIER_TEMPORAL,1.6,float64,True,True,True,False,False
EFFECTIVE_AGE,IDENTIFIER_TEMPORAL,1.4,float64,True,True,True,False,False
PF_ACATB,PAVEMENT_FAMILY_ENCODED,0.0,int64,True,True,True,True,False
PF_ACTB,PAVEMENT_FAMILY_ENCODED,0.0,int64,True,True,True,True,False
PF_ACUB,PAVEMENT_FAMILY_ENCODED,0.0,int64,True,True,True,True,False
REGION,IDENTIFIER_TEMPORAL,0.0,str,True,True,True,False,False
REGION_Arizona,REGION_ENCODED,0.0,int64,True,True,True,True,False
REGION_Georgia,REGION_ENCODED,0.0,int64,True,True,True,True,False
REGION_Ohio,REGION_ENCODED,0.0,int64,True,True,True,True,False
REGION_Ontario,REGION_ENCODED,0.0,int64,True,True,True,True,False
SPLIT,IDENTIFIER_TEMPORAL,0.0,str,True,True,True,False,False
UB_RESILIENT_MODULUS_MEASURED,UNBOUND_MATERIAL,0.0,int64,True,True,True,True,False
UB_PLASTICITY_INDEX_MEASURED,UNBOUND_MATERIAL,0.0,int64,True,True,True,True,False
