STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,LAYER_TYPE,LAYER_TYPE_EXP,PROJECT_LAYER_CODE,MATL_CODE_EXP,MATL_CODE,REPR_THICKNESS,DESCRIPTION,DESCRIPTION_EXP,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,AASHTO_SOIL_CLASS_EXP,AASHTO_SOIL_CLASS,SPEC_GRAVITY,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE,RESILIENT_MODULUS,RESILIENT_MODULUS_K1,RESILIENT_MODULUS_K2,RESILIENT_MODULUS_K3,POISSONS_RATIO,HYDRAULIC_CONDUCTIVITY
13,Georgia,4113,3,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Poorly Graded Sand with Silt,204,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4119,1,1,SS,Subgrade (untreated),,Fine-Grained Soils: Sandy Silt,145,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4119,1,2,GS,Unbound (granular) subbase,,Soil-Aggregate Mixture (Predominantly Coarse-Grained),308,416.56,6,Subbase Layer,100,100,100,96,87.5,76.5,64,41.5,30.5,20.5,17.5,14.800000190734863,0,0,,A-1-a,502,2.9790000915527344,2467.08,6,189.613,824.947,0.699999988079071,-0.17399999499320984,0.3499999940395355,0.05054
13,Georgia,4119,2,1,SS,Subgrade (untreated),,Fine-Grained Soils: Sandy Silt,145,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4119,2,2,GS,Unbound (granular) subbase,,Soil-Aggregate Mixture (Predominantly Coarse-Grained),308,416.56,6,Subbase Layer,100,100,100,96,87.5,76.5,64,41.5,30.5,20.5,17.5,14.800000190734863,0,0,,A-1-a,502,2.9790000915527344,2467.08,6,189.613,824.947,0.699999988079071,-0.17399999499320984,0.3499999940395355,0.05054
13,Georgia,4420,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand,214,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4420,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand,214,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4420,3,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand,214,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0104,1,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0104,2,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0111,1,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0111,2,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0111,3,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0112,1,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0112,2,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0159,1,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,0159,1,2,GB,Unbound (granular) base,B,Crushed Stone,303,,5,Base Layer,,,,,,,,,,,,,,,,A-1-a,502,,,,,,,,,
39,Ohio,0159,2,1,SS,Subgrade (untreated),A,Fine-Grained Soils: Silty Clay,131,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
