TABLE_NAME,FIELD_NAME,FIELD_ALIAS,FIELD_DESCRIPTION,FIELD_UNIT,FIELD_CODETYPE,UNIT_SYSTEM
ANALYSIS_DIS_JPCC,TRANS_CRACK_L_H,High Severity Transverse Crack Length,Length of high severity transverse cracking. (Crack widths greater than 6 mm or spalling over 75 mm or faulting over 6 mm.),m,,Metric
ANALYSIS_DIS_JPCC,TRANS_CRACK_NO,Transverse Crack Number,Total number of transverse cracks.,,,
ANALYSIS_DIS_JPCC,TRANS_CRACK_NO_L,Low Severity Transverse Crack Number,Number of low severity transverse cracks. (No spalling exceeding 10 percent of length.),,,
ANALYSIS_DIS_JPCC,TRANS_CRACK_NO_M,Medium Severity Transverse Crack Number,Number of transverse cracks for which moderate severity distress is the highest level observed for at least 10 percent of the crack.,,,
ANALYSIS_DIS_JPCC,TRANS_CRACK_NO_H,High Severity Transverse Crack Number,Number of transverse cracks for which high severity distress exceeds 10 percent of the length.,,,
ANALYSIS_DIS_JPCC,TRANS_CRACK_SEAL_L,Well Sealed Transverse Crack Length,Total length of transverse cracking with sealant in good condition for at least 90 percent of length of crack.,m,,Metric
ANALYSIS_DIS_JPCC,TRANS_CRACK_SEAL_L_L,Low Severity Well Sealed Transverse Crack Length,Length of low severity transverse cracking with sealant in good condition for at least 90 percent of length of crack.,m,,Metric
ANALYSIS_DIS_JPCC,TRANS_CRACK_SEAL_L_M,Medium Severity Well Sealed Transverse Crack Length,Length of moderate severity transverse cracking with sealant in good condition for at least 90 percent of length of crack.,m,,Metric
ANALYSIS_DIS_JPCC,TRANS_CRACK_SEAL_L_H,High Severity Well Sealed Transverse Crack Length,Length of high severity transverse cracking with sealant in good condition for at least 90 percent of length of crack.,m,,Metric
ANALYSIS_DIS_JPCC,LONG_CRACK_L,Longitudinal Crack Length,Total length of longitudinal cracking.,m,,Metric
ANALYSIS_DIS_JPCC,LONG_CRACK_L_L,Low Severity Longitudinal Crack Length,"Length of low severity longitudinal cracking. (Crack widths less than 3 mm, no spalling or measurable faulting.)",m,,Metric
ANALYSIS_DIS_JPCC,LONG_CRACK_L_M,Medium Severity Longitudinal Crack Length,Length of moderate severity longitudinal cracking. (Crack widths between 3 and 13 mm or spalling less than 75 mm or faulting less than 13 mm.),m,,Metric
ANALYSIS_DIS_JPCC,LONG_CRACK_L_H,High Severity Longitudinal Crack Length,Length of high severity longitudinal cracking. (Crack widths greater than 13 mm or spalling greater than 75 mm or faulting greater than 13 mm.),m,,Metric
ANALYSIS_DIS_JPCC,LONG_CRACK_SEAL_L,Well Sealed Longitudinal Crack Length,Total length of well sealed longitudinal cracking.,m,,Metric
ANALYSIS_DIS_JPCC,LONG_CRACK_SEAL_L_L,Low Severity Well Sealed Longitudinal Crack Length,"Length of well sealed, low severity longitudinal cracking. (Crack widths less than 3 mm, no spalling or measurable faulting.)",m,,Metric
ANALYSIS_DIS_JPCC,LONG_CRACK_SEAL_L_M,Medium Severity Well Sealed Longitudinal Crack Length,"Length of well sealed, moderate severity longitudinal cracking. (Crack widths between 3 and 13 mm or spalling less than 75 mm or faulting up to 13 mm.)",m,,Metric
ANALYSIS_DIS_JPCC,LONG_CRACK_SEAL_L_H,High Severity Well Sealed Longitudinal Crack Length,"Length of well sealed, high severity longitudinal cracking. (Crack widths greater than 13 mm or spalling greater than 75 mm or faulting greater than 13 mm.)",m,,Metric
ANALYSIS_DIS_JPCC,DURAB_CRACK_A,Durability Crack Area,Total area of durability cracking,sq m,,Metric
ANALYSIS_DIS_JPCC,DURAB_CRACK_A_L,Low Severity Durability Crack Area,Area of low severity durability (“D”) cracking.,sq m,,Metric
ANALYSIS_DIS_JPCC,DURAB_CRACK_A_M,Medium Severity Durability Crack Area,Area of moderate severity durability (“D”) cracking.,sq m,,Metric
ANALYSIS_DIS_JPCC,DURAB_CRACK_A_H,High Severity Durability Crack Area,Area of high severity durability (“D”) cracking.,sq m,,Metric
ANALYSIS_DIS_JPCC,DURAB_CRACK_NO,Durability Crack Number,Total number of slabs affected with durability cracking.,,,
ANALYSIS_DIS_JPCC,DURAB_CRACK_NO_L,Low Severity Durability Crack Number,Number of slabs affected with low severity durability (“D”) cracking.,,,
